Q_inv_angstrom,F_Q
1.200416666666666643e+01,-1.158701134930643084e+00
1.209583333333333144e+01,-1.318537200504413587e+00
1.218750000000000000e+01,2.636380832282471331e+00
1.227916666666666501e+01,6.650693568726354643e-01
1.237083333333333357e+01,2.718348045397225743e+00
1.246249999999999858e+01,2.636380832282471331e+00
1.255416666666666714e+01,2.542118537200504846e+00
1.264583333333333215e+01,-1.351324085750315263e+00
1.273750000000000071e+01,-1.281651954602774257e+00
1.282916666666666572e+01,-1.097225725094577609e+00
1.292083333333333250e+01,-9.087011349306431951e-01
1.301249999999999929e+01,1.062610340479192894e+00
1.310416666666666430e+01,-5.890290037831021897e-01
1.319583333333333286e+01,-4.619798234552333627e-01
1.328749999999999787e+01,-3.062421185372005139e-01
1.337916666666666643e+01,-2.037831021437579160e-01
1.347083333333333144e+01,-1.750945775535939775e-01
1.356250000000000000e+01,-1.832912988650693964e-01
1.365416666666666501e+01,-1.955863808322824970e-01
1.374583333333333357e+01,-2.242749054224464356e-01
1.383749999999999858e+01,-2.775535939470366031e-01
1.392916666666666714e+01,-3.513240857503152625e-01
1.402083333333333215e+01,-4.537831021437579437e-01
1.411250000000000071e+01,-5.767339218158891168e-01
1.420416666666666572e+01,-6.750945775535939219e-01
1.429583333333333073e+01,-7.037831021437579437e-01
1.438749999999999929e+01,-7.816519546027743681e-01
1.447916666666666430e+01,-8.308322824716267707e-01
1.457083333333333286e+01,-8.554224464060530275e-01
1.466249999999999787e+01,1.005233291298865073e+00
1.475416666666666643e+01,9.642496847414879779e-01
1.484583333333333144e+01,2.824905422446406078e+00
1.493750000000000000e+01,-9.373896595208071059e-01
1.502916666666666501e+01,-8.513240857503153736e-01
1.512083333333333357e+01,1.087200504413619262e+00
1.521249999999999858e+01,1.169167717528373229e+00
1.530416666666666714e+01,-6.341109709962169383e-01
1.539583333333333215e+01,-6.095208070617906815e-01
1.548749999999999893e+01,-1.507061790668348111e+00
1.557916666666666572e+01,-1.507061790668347889e+00
1.567083333333333073e+01,-6.095208070617906815e-01
1.576249999999999929e+01,-6.423076923076923572e-01
1.585416666666666430e+01,-6.955863808322825248e-01
1.594583333333333286e+01,-7.570617906683481113e-01
1.603749999999999787e+01,-8.144388398486760439e-01
1.612916666666666288e+01,1.158890290037830340e-01
1.622083333333333144e+01,1.050315258511979710e+00
1.631250000000000000e+01,6.261034047919286638e-02
1.640416666666666856e+01,-8.636191677175284465e-01
1.649583333333333002e+01,1.404791929382092908e-01
1.658749999999999858e+01,-7.324716267339218545e-01
1.667916666666666714e+01,-6.423076923076923572e-01
1.677083333333333215e+01,-5.808322824716267707e-01
1.686249999999999716e+01,-5.029634300126103463e-01
1.695416666666666572e+01,-4.168978562421185585e-01
1.704583333333333428e+01,-3.349306431273644802e-01
1.713749999999999929e+01,-2.898486759142497315e-01
1.722916666666666430e+01,-2.652585119798234747e-01
1.732083333333333286e+01,-2.447667087011349552e-01
1.741250000000000142e+01,-2.242749054224464356e-01
1.750416666666666288e+01,-2.078814627994956254e-01
1.759583333333333144e+01,-2.529634300126103463e-01
1.768750000000000000e+01,-2.898486759142497315e-01
1.777916666666666501e+01,-3.062421185372005139e-01
1.787083333333333002e+01,-3.226355611601513518e-01
1.796249999999999858e+01,-3.554224464060529720e-01
1.805416666666666714e+01,-3.800126103404792288e-01
1.814583333333333215e+01,-4.414880201765447598e-01
1.823749999999999716e+01,-5.193568726355611842e-01
1.832916666666666572e+01,-5.931273644388398436e-01
1.842083333333333428e+01,-6.341109709962169383e-01
1.851249999999999929e+01,-6.627994955863808491e-01
1.860416666666666430e+01,-6.627994955863808491e-01
1.869583333333333286e+01,-6.546027742749054301e-01
1.878750000000000142e+01,-6.423076923076923572e-01
1.887916666666666288e+01,-6.136191677175284465e-01
1.897083333333333144e+01,-5.849306431273644247e-01
1.906250000000000000e+01,-5.439470365699874410e-01
1.915416666666666501e+01,-5.029634300126103463e-01
1.924583333333333002e+01,-4.496847414880201788e-01
1.933749999999999858e+01,-4.127994955863808491e-01
1.942916666666666714e+01,-3.718158890290038099e-01
1.952083333333333215e+01,-3.554224464060529720e-01
1.961249999999999716e+01,-3.390290037831021897e-01
1.970416666666666572e+01,-3.349306431273644802e-01
1.979583333333333428e+01,-3.390290037831021897e-01
1.988749999999999929e+01,-3.226355611601513518e-01
1.997916666666666430e+01,-3.267339218158890612e-01
2.007083333333333286e+01,-3.349306431273644802e-01
2.016249999999999787e+01,-3.390290037831021897e-01
2.025416666666666288e+01,-3.390290037831021897e-01
2.034583333333333144e+01,-3.349306431273644802e-01
2.043750000000000000e+01,-3.308322824716267707e-01
2.052916666666666501e+01,-3.144388398486759328e-01
2.062083333333333002e+01,-8.349306431273645357e-01
2.071249999999999858e+01,-2.412799495586380960e+00
2.080416666666666714e+01,-2.898486759142497315e-01
2.089583333333333215e+01,-2.652585119798234747e-01
2.098749999999999716e+01,-2.283732660781841450e-01
2.107916666666666572e+01,-1.955863808322824970e-01
2.117083333333333428e+01,-5.808322824716267707e-01
2.126249999999999929e+01,-9.005044136191677762e-01
2.135416666666666430e+01,-8.718158890290038654e-01
2.144583333333333286e+01,-8.718158890290038654e-01
2.153749999999999787e+01,-7.775535939470366031e-01
2.162916666666666288e+01,-6.423076923076923572e-01
2.172083333333333144e+01,1.156872635561160045e+00
2.181250000000000000e+01,-3.554224464060530275e-01
2.190416666666666501e+01,-3.390290037831021897e-01
2.199583333333333002e+01,-3.390290037831021897e-01
2.208749999999999858e+01,-3.759142496847415194e-01
2.217916666666666714e+01,-3.595208070617906815e-01
2.227083333333333215e+01,-4.291929382093316869e-01
2.236249999999999716e+01,2.636380832282471776e+00
2.245416666666666572e+01,1.136380832282471776e+00
2.254583333333333428e+01,-3.841109709962169383e-01
2.263749999999999574e+01,-3.677175283732661004e-01
2.272916666666666430e+01,-3.595208070617906815e-01
2.282083333333333286e+01,-6.668978562421186140e-01
2.291249999999999787e+01,-6.341109709962169383e-01
2.300416666666666288e+01,1.156872635561160267e+00
2.309583333333333144e+01,-2.898486759142497315e-01
2.318750000000000000e+01,-3.021437578814628599e-01
2.327916666666666501e+01,-4.496847414880201788e-01
2.337083333333333002e+01,-2.980453972257250950e-01
2.346249999999999858e+01,-2.898486759142497315e-01
2.355416666666666714e+01,-2.078814627994955977e-01
2.364583333333333215e+01,-2.242749054224464356e-01
2.373749999999999716e+01,-2.898486759142497315e-01
2.382916666666666572e+01,-2.201765447667087261e-01
2.392083333333333428e+01,4.601513240857502129e-01
2.401249999999999574e+01,-1.791929382093316869e-01
2.410416666666666430e+01,-2.570617906683480558e-01
2.419583333333333286e+01,-2.242749054224464356e-01
2.428749999999999787e+01,-2.242749054224464356e-01
2.437916666666666288e+01,-2.242749054224464356e-01
2.447083333333333144e+01,-2.324716267339218545e-01
2.456250000000000000e+01,-2.693568726355611842e-01
2.465416666666666501e+01,-2.406683480453972457e-01
2.474583333333333002e+01,-2.611601513240857653e-01
2.483749999999999858e+01,-2.570617906683480558e-01
2.492916666666666714e+01,-9.783732660781842005e-01
2.502083333333333215e+01,-2.406683480453972457e-01
2.511249999999999716e+01,3.699873896595208267e-01
2.520416666666666572e+01,4.724464060529633969e-01
2.529583333333333428e+01,5.011349306431273076e-01
2.538749999999999574e+01,5.544136191677174752e-01
2.547916666666666430e+01,4.396595208070617211e-01
2.557083333333333286e+01,-1.013240857503152903e-01
2.566249999999999787e+01,-3.185372005044136423e-01
2.575416666666666288e+01,-3.349306431273644802e-01
2.584583333333333144e+01,3.126103404791927831e-01
2.593750000000000000e+01,2.572509457755359219e-02
2.602916666666666501e+01,-3.226355611601513518e-01
2.612083333333333002e+01,-3.472257250945776086e-01
2.621249999999999858e+01,-3.308322824716267707e-01
2.630416666666666714e+01,-6.054224464060530275e-01
2.639583333333333215e+01,-3.472257250945776086e-01
2.648749999999999716e+01,-1.587011349306431396e-01
2.657916666666666572e+01,2.306431273644387880e-01
2.667083333333333073e+01,2.347414880201764975e-01
2.676249999999999574e+01,2.798234552332913294e-01
2.685416666666666430e+01,3.699873896595207157e-01
2.694583333333333286e+01,1.363808322824715813e-01
2.703749999999999787e+01,-2.939470365699874410e-01
2.712916666666666288e+01,2.716267339218157995e-01
2.722083333333333144e+01,2.757250945775535644e-01
2.731250000000000000e+01,-3.062421185372005139e-01
2.740416666666666501e+01,-2.201765447667087261e-01
2.749583333333333002e+01,9.129886506935688817e-02
2.758749999999999858e+01,3.863808322824716646e-01
2.767916666666666714e+01,2.632282471626734122e+00
2.777083333333333215e+01,-1.668978562421185585e-01
2.786249999999999716e+01,3.003152585119798212e-01
2.795416666666666572e+01,3.167087011349305481e-01
