[2025-07-19 12:52:24,999][__main__][INFO] - — Optimising with AugLagLoss + FIRE —
[2025-07-19 12:52:42,180][__main__][INFO] - step  140 | loss = 1039983106175533056.000000 | χ²_corr=7.545e+02 | χ²_scatt=6.656e+14 | q_loss=4.000e+02 | scale_q=7.813e+04 | scale_scatt=1.563e+03 | rho=6.104e+06 | lambda_corr=1.612e+10 | 
[2025-07-19 12:52:42,255][__main__][INFO] - step  145 | loss = 1040000492203147264.000000 | χ²_corr=7.545e+02 | χ²_scatt=6.656e+14 | q_loss=4.000e+02 | scale_q=7.813e+04 | scale_scatt=1.563e+03 | rho=6.104e+06 | lambda_corr=3.915e+10 | 
[2025-07-19 12:52:42,334][__main__][INFO] - step  150 | loss = 2325502002240421888.000000 | χ²_corr=7.545e+02 | χ²_scatt=6.656e+14 | q_loss=4.000e+02 | scale_q=1.747e+05 | scale_scatt=3.494e+03 | rho=3.052e+07 | lambda_corr=8.059e+10 | 
[2025-07-19 12:52:42,411][__main__][INFO] - step  155 | loss = 2325588863659016192.000000 | χ²_corr=7.545e+02 | χ²_scatt=6.656e+14 | q_loss=4.000e+02 | scale_q=1.747e+05 | scale_scatt=3.494e+03 | rho=3.052e+07 | lambda_corr=1.957e+11 | 
[2025-07-19 12:52:42,491][__main__][INFO] - step  160 | loss = 5200124300647989248.000000 | χ²_corr=7.545e+02 | χ²_scatt=6.656e+14 | q_loss=4.000e+02 | scale_q=3.906e+05 | scale_scatt=7.813e+03 | rho=1.526e+08 | lambda_corr=4.030e+11 | 
[2025-07-19 12:52:42,579][__main__][INFO] - step  165 | loss = 5200558607740960768.000000 | χ²_corr=7.545e+02 | χ²_scatt=6.656e+14 | q_loss=4.000e+02 | scale_q=3.906e+05 | scale_scatt=7.813e+03 | rho=1.526e+08 | lambda_corr=9.786e+11 | 
[2025-07-19 12:52:42,662][__main__][INFO] - step  170 | loss = 11628552623103148032.000000 | χ²_corr=7.545e+02 | χ²_scatt=6.656e+14 | q_loss=4.000e+02 | scale_q=8.735e+05 | scale_scatt=1.747e+04 | rho=7.629e+08 | lambda_corr=2.015e+12 | 
[2025-07-19 12:52:42,738][__main__][INFO] - step  175 | loss = 11630724158568005632.000000 | χ²_corr=7.545e+02 | χ²_scatt=6.656e+14 | q_loss=4.000e+02 | scale_q=8.735e+05 | scale_scatt=1.747e+04 | rho=7.629e+08 | lambda_corr=4.893e+12 | 
[2025-07-19 12:52:42,827][__main__][INFO] - step  180 | loss = 26005833738111418368.000000 | χ²_corr=7.545e+02 | χ²_scatt=6.656e+14 | q_loss=4.000e+02 | scale_q=1.953e+06 | scale_scatt=3.906e+04 | rho=3.815e+09 | lambda_corr=1.007e+13 | 
[2025-07-19 12:52:42,906][__main__][INFO] - step  185 | loss = 26016692514947334144.000000 | χ²_corr=7.545e+02 | χ²_scatt=6.656e+14 | q_loss=4.000e+02 | scale_q=1.953e+06 | scale_scatt=3.906e+04 | rho=3.815e+09 | lambda_corr=2.446e+13 | 
