r,G_r
5.09,-0.232972
5.1,-0.219805
5.11,-0.2063
5.12,-0.192585
5.13,-0.178791
5.14,-0.165056
5.15,-0.151516
5.16,-0.138309
5.17,-0.125566
5.18,-0.113416
5.19,-0.101978
5.2,-0.091361
5.21,-0.081663
5.22,-0.072968
5.23,-0.065345
5.24,-0.058847
5.25,-0.053511
5.26,-0.049355
5.27,-0.04638
5.28,-0.044572
5.29,-0.043896
5.3,-0.044304
5.31,-0.045731
5.32,-0.048099
5.33,-0.051319
5.34,-0.055291
5.35,-0.059904
5.36,-0.065046
5.37,-0.070597
5.38,-0.076437
5.39,-0.082446
5.4,-0.088507
5.41,-0.094509
5.42,-0.100347
5.43,-0.105923
5.44,-0.111153
5.45,-0.115961
5.46,-0.120285
5.47,-0.124078
5.48,-0.127303
5.49,-0.129941
5.5,-0.131984
5.51,-0.133438
5.52,-0.134322
5.53,-0.134664
5.54,-0.134505
5.55,-0.133893
5.56,-0.132883
5.57,-0.131534
5.58,-0.12991
5.59,-0.128073
5.6,-0.126087
5.61,-0.124013
5.62,-0.121906
5.63,-0.119816
5.64,-0.117785
5.65,-0.115847
5.66,-0.114024
5.67,-0.112331
5.68,-0.11077
5.69,-0.109333
5.7,-0.108
5.71,-0.106742
5.72,-0.105522
5.73,-0.104291
5.74,-0.102995
5.75,-0.101575
5.76,-0.099966
5.77,-0.098102
5.78,-0.095915
5.79,-0.093339
5.8,-0.090311
5.81,-0.086771
5.82,-0.082667
5.83,-0.077953
5.84,-0.07259
5.85,-0.066553
5.86,-0.059822
5.87,-0.052392
5.88,-0.044265
5.89,-0.035455
5.9,-0.025987
5.91,-0.015895
5.92,-0.00522
5.93,0.005988
5.94,0.017675
5.95,0.029779
5.96,0.04224
5.97,0.054992
5.98,0.067972
5.99,0.08112
6,0.094377
6.01,0.10769
6.02,0.121012
6.03,0.134304
6.04,0.147534
6.05,0.160679
6.06,0.173723
6.07,0.186661
6.08,0.199495
6.09,0.212233
6.1,0.224894
6.11,0.237499
6.12,0.250074
6.13,0.262649
6.14,0.275256
6.15,0.287925
6.16,0.300685
6.17,0.313561
6.18,0.326576
6.19,0.339742
6.2,0.353067
6.21,0.366549
6.22,0.380178
6.23,0.393934
6.24,0.407785
6.25,0.421694
6.26,0.43561
6.27,0.449477
6.28,0.46323
6.29,0.4768
6.3,0.490111
6.31,0.503086
6.32,0.515647
6.33,0.527719
6.34,0.539226
6.35,0.550102
6.36,0.560286
6.37,0.569724
6.38,0.578376
6.39,0.586211
6.4,0.593213
6.41,0.599377
6.42,0.604713
6.43,0.609245
6.44,0.613011
6.45,0.616058
6.46,0.618449
6.47,0.620254
6.48,0.621552
6.49,0.622427
6.5,0.622969
6.51,0.623268
6.52,0.623412
6.53,0.623488
6.54,0.623575
6.55,0.623745
6.56,0.62406
6.57,0.624567
6.58,0.625303
6.59,0.626288
6.6,0.627526
6.61,0.629005
6.62,0.630699
6.63,0.632564
6.64,0.634542
6.65,0.636561
6.66,0.63854
6.67,0.640386
6.68,0.642001
6.69,0.643282
6.7,0.644123
6.71,0.644423
6.72,0.644082
6.73,0.643009
6.74,0.641123
6.75,0.638355
6.76,0.634652
6.77,0.629976
6.78,0.624309
6.79,0.617651
6.8,0.610022
6.81,0.601461
6.82,0.592027
6.83,0.581799
6.84,0.570868
6.85,0.559343
6.86,0.547346
6.87,0.535006
6.88,0.52246
6.89,0.509847
6.9,0.497307
6.91,0.484976
6.92,0.472983
6.93,0.461446
6.94,0.450471
6.95,0.440147
6.96,0.430544
6.97,0.421715
6.98,0.413686
6.99,0.406466
7,0.400037
7.01,0.39436
7.02,0.389375
7.03,0.385
7.04,0.381137
7.05,0.37767
7.06,0.37447
7.07,0.371398
7.08,0.368312
7.09,0.365061
7.1,0.361501
7.11,0.357489
7.12,0.352891
7.13,0.347586
7.14,0.341467
7.15,0.334445
7.16,0.326451
7.17,0.317437
7.18,0.307382
7.19,0.296284
7.2,0.28417
7.21,0.271086
7.22,0.257106
7.23,0.242321
7.24,0.226842
7.25,0.210798
7.26,0.19433
7.27,0.177589
7.28,0.160732
7.29,0.143921
7.3,0.127315
7.31,0.111068
7.32,0.095328
7.33,0.080228
7.34,0.065889
7.35,0.052414
7.36,0.039885
7.37,0.028364
7.38,0.01789
7.39,0.008479
7.4,0.000124
7.41,-0.007204
7.42,-0.013558
7.43,-0.019008
7.44,-0.023643
7.45,-0.027567
7.46,-0.030898
7.47,-0.033761
7.48,-0.036288
7.49,-0.038614
7.5,-0.040873
7.51,-0.043195
7.52,-0.045704
7.53,-0.048513
7.54,-0.051721
7.55,-0.055415
7.56,-0.059665
7.57,-0.064521
7.58,-0.070016
7.59,-0.076166
7.6,-0.082964
7.61,-0.09039
7.62,-0.098403
7.63,-0.106949
7.64,-0.115961
7.65,-0.125359
7.66,-0.135056
7.67,-0.144958
7.68,-0.154969
7.69,-0.164991
7.7,-0.174928
7.71,-0.184691
7.72,-0.194193
7.73,-0.203362
7.74,-0.212131
7.75,-0.22045
7.76,-0.228277
7.77,-0.235588
7.78,-0.24237
7.79,-0.248625
7.8,-0.254366
7.81,-0.259621
7.82,-0.264425
7.83,-0.268825
7.84,-0.272874
7.85,-0.276631
7.86,-0.280159
7.87,-0.28352
7.88,-0.286779
7.89,-0.289995
7.9,-0.293224
7.91,-0.296518
7.92,-0.299919
7.93,-0.303462
7.94,-0.307173
7.95,-0.311069
7.96,-0.315157
7.97,-0.319435
7.98,-0.323893
7.99,-0.328512
8,-0.333267
8.01,-0.338127
8.02,-0.343057
8.03,-0.348019
8.04,-0.352975
8.05,-0.357886
8.06,-0.362716
8.07,-0.367432
8.08,-0.372005
8.09,-0.376413
8.1,-0.380638
8.11,-0.384671
8.12,-0.388509
8.13,-0.392155
8.14,-0.39562
8.15,-0.398921
8.16,-0.402079
8.17,-0.405119
8.18,-0.40807
8.19,-0.410962
8.2,-0.413823
8.21,-0.416682
8.22,-0.419563
8.23,-0.422485
8.24,-0.425462
8.25,-0.4285
8.26,-0.4316
8.27,-0.43475
8.28,-0.437931
8.29,-0.441117
8.3,-0.444269
8.31,-0.447343
8.32,-0.450288
8.33,-0.453045
8.34,-0.455551
8.35,-0.457741
8.36,-0.459548
8.37,-0.460906
8.38,-0.461752
8.39,-0.462027
8.4,-0.461682
8.41,-0.460671
8.42,-0.458963
8.43,-0.456537
8.44,-0.453382
8.45,-0.449504
8.46,-0.44492
8.47,-0.439661
8.48,-0.433773
8.49,-0.42731
8.5,-0.420341
8.51,-0.412942
8.52,-0.405197
8.53,-0.397195
8.54,-0.389028
8.55,-0.380789
8.56,-0.372566
8.57,-0.364446
8.58,-0.356504
8.59,-0.348808
8.6,-0.341414
8.61,-0.334362
8.62,-0.327677
8.63,-0.321369
8.64,-0.31543
8.65,-0.309833
8.66,-0.304534
8.67,-0.299476
8.68,-0.294583
8.69,-0.289768
8.7,-0.284932
8.71,-0.279968
8.72,-0.274764
8.73,-0.269204
8.74,-0.263176
8.75,-0.25657
8.76,-0.249284
8.77,-0.241228
8.78,-0.232325
8.79,-0.222516
8.8,-0.211759
8.81,-0.200036
8.82,-0.187349
8.83,-0.173727
8.84,-0.159218
8.85,-0.143896
8.86,-0.127859
8.87,-0.111223
8.88,-0.094123
8.89,-0.076713
8.9,-0.059156
8.91,-0.041627
8.92,-0.024306
8.93,-0.007374
8.94,0.00899
8.95,0.024615
8.96,0.039339
8.97,0.053017
8.98,0.065522
8.99,0.076749
9,0.086616
9.01,0.09507
9.02,0.102085
9.03,0.107663
9.04,0.111839
9.05,0.114673
9.06,0.116254
9.07,0.116698
9.08,0.116143
9.09,0.114748
9.1,0.112686
9.11,0.110147
9.12,0.107324
9.13,0.104419
9.14,0.101628
9.15,0.099145
9.16,0.097151
9.17,0.095814
9.18,0.095284
9.19,0.095688
9.2,0.097126
9.21,0.099675
9.22,0.10338
9.23,0.108256
9.24,0.114287
9.25,0.121429
9.26,0.129608
9.27,0.138721
9.28,0.148643
9.29,0.159228
9.3,0.170308
9.31,0.181705
9.32,0.193229
9.33,0.204686
9.34,0.215879
9.35,0.226618
9.36,0.23672
9.37,0.246012
9.38,0.25434
9.39,0.26157
9.4,0.267588
9.41,0.272308
9.42,0.275667
9.43,0.277634
9.44,0.278203
9.45,0.277396
9.46,0.275262
9.47,0.271878
9.48,0.267339
9.49,0.261765
9.5,0.255291
9.51,0.248067
9.52,0.240252
9.53,0.232012
9.54,0.223517
9.55,0.214933
9.56,0.206422
9.57,0.198137
9.58,0.190221
9.59,0.182799
9.6,0.175981
9.61,0.169858
9.62,0.1645
9.63,0.159957
9.64,0.156257
9.65,0.153407
9.66,0.151393
9.67,0.150184
9.68,0.149731
9.69,0.14997
9.7,0.150825
9.71,0.152209
9.72,0.154029
9.73,0.156188
9.74,0.158587
9.75,0.16113
9.76,0.163722
9.77,0.166277
9.78,0.168716
9.79,0.170972
9.8,0.172988
9.81,0.174718
9.82,0.176132
9.83,0.177211
9.84,0.177949
9.85,0.17835
9.86,0.178432
9.87,0.17822
9.88,0.177747
9.89,0.177053
9.9,0.176179
9.91,0.175171
9.92,0.174074
9.93,0.172929
9.94,0.171776
9.95,0.170648
9.96,0.169571
9.97,0.168563
9.98,0.167635
9.99,0.166786
10,0.16601
10.01,0.16529
10.02,0.164599
10.03,0.163907
10.04,0.163176
10.05,0.162363
10.06,0.161424
10.07,0.160313
10.08,0.158985
10.09,0.157399
10.1,0.155517
10.11,0.153309
10.12,0.150753
10.13,0.147836
10.14,0.144553
10.15,0.140914
10.16,0.136938
10.17,0.132656
10.18,0.12811
10.19,0.123352
10.2,0.118444
10.21,0.113456
10.22,0.108463
10.23,0.103544
10.24,0.098783
10.25,0.09426
10.26,0.090056
10.27,0.086244
10.28,0.082891
10.29,0.080057
10.3,0.077789
10.31,0.07612
10.32,0.07507
10.33,0.074646
10.34,0.074835
10.35,0.075612
10.36,0.076935
10.37,0.078745
10.38,0.080973
10.39,0.083534
10.4,0.086335
10.41,0.089272
10.42,0.092238
10.43,0.095121
10.44,0.097808
10.45,0.100189
10.46,0.10216
10.47,0.103624
10.48,0.104493
10.49,0.104694
10.5,0.104168
10.51,0.102872
10.52,0.100781
10.53,0.097889
10.54,0.094209
10.55,0.089771
10.56,0.084627
10.57,0.078842
10.58,0.072499
10.59,0.065696
10.6,0.058538
10.61,0.051144
10.62,0.043636
10.63,0.036139
10.64,0.028779
10.65,0.021678
10.66,0.014951
10.67,0.008704
10.68,0.003031
10.69,-0.001988
10.7,-0.00629
10.71,-0.009832
10.72,-0.012588
10.73,-0.014555
10.74,-0.015747
10.75,-0.016201
10.76,-0.015974
10.77,-0.01514
10.78,-0.013788
10.79,-0.012024
10.8,-0.009965
10.81,-0.007735
10.82,-0.005467
10.83,-0.003294
10.84,-0.00135
