Q,SQ
1.387288694,0.679025
1.390365195,0.670356
1.393441654,0.661489
1.39651807,0.651813
1.399594444,0.643186
1.402670775,0.636421
1.405747064,0.630018
1.408823309,0.622561
1.411899512,0.613865
1.414975672,0.605686
1.418051788,0.598252
1.421127862,0.590441
1.424203892,0.582097
1.427279879,0.573537
1.430355822,0.566173
1.433431721,0.560658
1.436507577,0.555709
1.43958339,0.549694
1.442659158,0.542548
1.445734882,0.535532
1.448810563,0.528251
1.451886199,0.520035
1.454961791,0.511648
1.458037339,0.50397
1.461112842,0.49765
1.464188301,0.492615
1.467263715,0.487841
1.470339085,0.482537
1.473414409,0.476792
1.476489689,0.470752
1.479564924,0.464374
1.482640114,0.45749
1.485715258,0.450072
1.488790358,0.44305
1.491865412,0.437011
1.49494042,0.430781
1.498015383,0.424301
1.501090301,0.418902
1.504165172,0.414081
1.507239998,0.409047
1.510314778,0.404522
1.513389512,0.400781
1.5164642,0.397831
1.519538842,0.39568
1.522613437,0.393209
1.525687986,0.388873
1.528762488,0.382753
1.531836944,0.376144
1.534911354,0.370152
1.537985716,0.365669
1.541060032,0.362374
1.5441343,0.359507
1.547208522,0.357162
1.550282697,0.35564
1.553356824,0.354542
1.556430904,0.352823
1.559504937,0.349994
1.562578922,0.346512
1.565652859,0.342904
1.568726749,0.339464
1.571800591,0.33602
1.574874385,0.332412
1.577948131,0.328985
1.581021829,0.326583
1.584095479,0.325264
1.587169081,0.324128
1.590242634,0.323101
1.593316139,0.321905
1.596389595,0.31998
1.599463003,0.318285
1.602536362,0.317529
1.605609672,0.317194
1.608682933,0.317063
1.611756146,0.316857
1.614829309,0.316238
1.617902423,0.315061
1.620975488,0.313867
1.624048503,0.313243
1.627121469,0.312833
1.630194385,0.312533
1.633267252,0.312544
1.636340068,0.312911
1.639412835,0.313595
1.642485553,0.314633
1.64555822,0.315982
1.648630837,0.317013
1.651703403,0.318243
1.65477592,0.32002
1.657848386,0.32079
1.660920801,0.320607
1.663993166,0.320968
1.66706548,0.321944
1.670137744,0.323376
1.673209956,0.325365
1.676282118,0.327186
1.679354228,0.3288
1.682426288,0.33044
1.685498296,0.331145
1.688570252,0.331376
1.691642158,0.332844
1.694714012,0.335541
1.697785814,0.338223
1.700857564,0.340765
1.703929263,0.344246
1.707000909,0.348518
1.710072504,0.352304
1.713144047,0.355073
1.716215537,0.35749
1.719286976,0.360494
1.722358361,0.363996
1.725429695,0.367307
1.728500975,0.370301
1.731572204,0.373288
1.734643379,0.376933
1.737714501,0.380995
1.740785571,0.385017
1.743856588,0.389971
1.746927551,0.395951
1.749998461,0.401646
1.753069318,0.406403
1.756140122,0.410942
1.759210872,0.416165
1.762281568,0.42155
1.765352211,0.426148
1.7684228,0.430668
1.771493335,0.436563
1.774563816,0.44334
1.777634244,0.449332
1.780704616,0.454467
1.783774935,0.459438
1.7868452,0.464775
1.789915409,0.471611
1.792985565,0.47912
1.796055666,0.485218
1.799125712,0.490975
1.802195703,0.497475
1.805265639,0.504144
1.808335521,0.511427
1.811405347,0.519741
1.814475118,0.528972
1.817544834,0.539204
1.820614495,0.550858
1.8236841,0.562401
1.826753649,0.572235
1.829823143,0.581786
1.832892581,0.591073
1.835961963,0.599803
1.83903129,0.608929
1.84210056,0.617653
1.845169774,0.626285
1.848238932,0.636019
1.851308034,0.645931
1.854377079,0.655379
1.857446068,0.665741
1.860515,0.678581
1.863583876,0.692948
1.866652695,0.707226
1.869721457,0.722313
1.872790162,0.739052
1.87585881,0.75692
1.8789274,0.775811
1.881995934,0.795377
1.88506441,0.815314
1.888132829,0.835835
1.89120119,0.856211
1.894269494,0.874015
1.89733774,0.88749
1.900405928,0.89801
1.903474058,0.906525
1.906542131,0.912601
1.909610145,0.91885
1.912678101,0.928378
1.915745999,0.940716
1.918813838,0.954715
1.921881619,0.970164
1.924949342,0.986579
1.928017005,1.002916
1.93108461,1.018695
1.934152157,1.034055
1.937219644,1.048978
1.940287072,1.064967
1.943354442,1.084015
1.946421752,1.105501
1.949489002,1.127447
1.952556194,1.149484
1.955623325,1.172347
1.958690398,1.195531
1.96175741,1.218033
1.964824363,1.239318
1.967891256,1.259234
1.970958089,1.278788
1.974024862,1.299203
1.977091575,1.320192
1.980158228,1.341078
1.98322482,1.362755
1.986291352,1.386738
1.989357824,1.412698
1.992424235,1.437903
1.995490585,1.461428
1.998556874,1.483932
2.001623102,1.504971
2.00468927,1.525106
2.007755376,1.545417
2.010821422,1.566959
2.013887406,1.589325
2.016953328,1.611377
2.02001919,1.632925
2.023084989,1.653813
2.026150727,1.674701
2.029216404,1.694672
2.032282018,1.712764
2.035347571,1.730534
2.038413062,1.748689
2.04147849,1.766532
2.044543857,1.782736
2.047609161,1.797082
2.050674402,1.811081
2.053739582,1.825675
2.056804698,1.84014
2.059869752,1.853411
2.062934744,1.865131
2.065999672,1.875117
2.069064537,1.884334
2.07212934,1.893505
2.075194079,1.902138
2.078258755,1.910311
2.081323368,1.917927
2.084387918,1.924199
2.087452404,1.928612
2.090516826,1.9311
2.093581185,1.931258
2.09664548,1.928763
2.099709711,1.924983
2.102773878,1.920907
2.105837981,1.916418
2.10890202,1.911965
2.111965994,1.906581
2.115029904,1.899245
2.11809375,1.890531
2.121157532,1.881201
2.124221248,1.871091
2.1272849,1.859063
2.130348488,1.845233
2.13341201,1.830221
2.136475467,1.814972
2.13953886,1.800309
2.142602187,1.784908
2.145665448,1.768208
2.148728645,1.751314
2.151791776,1.734911
2.154854841,1.718596
2.157917841,1.701242
2.160980775,1.682423
2.164043644,1.662274
2.167106446,1.641812
2.170169182,1.622179
2.173231852,1.603055
2.176294456,1.584652
2.179356994,1.567155
2.182419465,1.549429
2.18548187,1.531265
2.188544209,1.512326
2.19160648,1.492553
2.194668685,1.47223
2.197730823,1.45086
2.200792894,1.429608
2.203854898,1.408354
2.206916835,1.385935
2.209978705,1.363551
2.213040507,1.342042
2.216102242,1.32129
2.219163909,1.301299
2.222225509,1.282523
2.225287041,1.264581
2.228348505,1.246521
2.231409902,1.228915
2.23447123,1.210489
2.237532491,1.190059
2.240593683,1.170373
2.243654807,1.152415
2.246715863,1.135559
2.24977685,1.12013
2.252837769,1.104806
2.255898619,1.089018
2.2589594,1.073567
2.262020113,1.058666
2.265080756,1.043748
2.268141331,1.028443
2.271201836,1.014109
2.274262273,1.00155
2.27732264,0.990399
2.280382937,0.980177
2.283443166,0.970254
2.286503324,0.959991
2.289563413,0.948489
2.292623433,0.935852
2.295683382,0.923276
2.298743262,0.911519
2.301803071,0.900817
2.304862811,0.890546
2.30792248,0.879805
2.310982079,0.869318
2.314041607,0.859603
2.317101065,0.849604
2.320160452,0.839195
2.323219769,0.829225
2.326279015,0.820074
2.32933819,0.811464
2.332397294,0.802887
2.335456327,0.794605
2.338515289,0.786706
2.34157418,0.778042
2.344632999,0.768563
2.347691747,0.760214
2.350750424,0.753917
2.353809029,0.748597
2.356867562,0.743426
2.359926023,0.738359
2.362984412,0.733507
2.36604273,0.729414
2.369100975,0.725376
2.372159149,0.719493
