,r,T
813,8.13,1.777019
814,8.14,1.781191
815,8.15,1.786137
816,8.16,1.791877
817,8.17,1.798359
818,8.18,1.805459
819,8.19,1.812993
820,8.2,1.820734
821,8.21,1.828434
822,8.22,1.835843
823,8.23,1.842741
824,8.24,1.848958
825,8.25,1.854394
826,8.26,1.859035
827,8.27,1.86296
828,8.28,1.866332
829,8.29,1.869386
830,8.3,1.872399
831,8.31,1.875655
832,8.32,1.879408
833,8.33,1.883839
834,8.34,1.889034
835,8.35,1.894963
836,8.36,1.901485
837,8.37,1.908366
838,8.38,1.915319
839,8.39,1.922048
840,8.4,1.928306
841,8.41,1.933935
842,8.42,1.938901
843,8.43,1.943305
844,8.44,1.947367
845,8.45,1.951391
846,8.46,1.955703
847,8.47,1.960591
848,8.48,1.966239
849,8.49,1.972683
850,8.5,1.979787
851,8.51,1.987248
852,8.52,1.994643
853,8.53,2.001489
854,8.54,2.007327
855,8.55,2.011806
856,8.56,2.014753
857,8.57,2.016217
858,8.58,2.016472
859,8.59,2.015993
860,8.6,2.015381
861,8.61,2.015276
862,8.62,2.016253
863,8.63,2.018731
864,8.64,2.022897
865,8.65,2.028686
866,8.66,2.035776
867,8.67,2.043654
868,8.68,2.051691
869,8.69,2.059251
870,8.7,2.065791
871,8.71,2.070949
872,8.72,2.074594
873,8.73,2.076841
874,8.74,2.078017
875,8.75,2.078597
876,8.76,2.079108
877,8.77,2.080034
878,8.78,2.08173
879,8.79,2.08436
880,8.8,2.087873
881,8.81,2.092024
882,8.82,2.09642
883,8.83,2.100602
884,8.84,2.104136
885,8.85,2.106688
886,8.86,2.108092
887,8.87,2.108378
888,8.88,2.107763
889,8.89,2.106614
890,8.9,2.10538
891,8.91,2.104513
892,8.92,2.104391
893,8.93,2.10526
894,8.94,2.107188
895,8.95,2.110075
896,8.96,2.113662
897,8.97,2.117594
898,8.98,2.121479
899,8.99,2.124954
900,9.0,2.127744
901,9.01,2.129702
902,9.02,2.130819
903,9.03,2.131222
904,9.04,2.131135
905,9.05,2.130842
906,9.06,2.130627
907,9.07,2.130738
908,9.08,2.131346
909,9.09,2.132524
910,9.1,2.134252
911,9.11,2.136425
912,9.12,2.138883
913,9.13,2.14144
914,9.14,2.143916
915,9.15,2.146163
916,9.16,2.148083
917,9.17,2.149637
918,9.18,2.150836
919,9.19,2.15174
920,9.2,2.152434
