,r,T
70,0.8791,-1.276742363006038
71,0.8836,-1.1009371475562262
72,0.8891,-1.364634250434724
73,0.8891,-1.1190390996774837
74,0.903,-1.459053402611506
75,0.9113,-1.3221744054983853
76,0.9196,-1.5473011746208931
77,0.9241,-1.4197056371179504
78,0.9268,-1.61002559732971
79,0.9357,-1.5066431073615316
80,0.9451,-1.6925036925056616
81,0.9501,-1.5875022732557216
82,0.9612,-1.6474070203716868
83,0.9712,-1.7824529138711795
84,0.9745,-1.7190216220112846
85,1.009,-1.8523195770019665
86,1.012,-1.8926126544375614
87,1.078,-1.959936846042159
88,1.087,-1.9108472749478063
89,1.123,-1.9786491566136317
90,1.139,-1.9510289441884627
91,1.193,-2.0332027267829234
92,1.202,-2.097183453631334
93,1.248,-2.157818277907476
94,1.258,-2.2324571366655097
95,1.29,-2.257954011283432
96,1.3,-2.3372561684243385
97,1.348,-2.4296342834647957
98,1.352,-2.4833164562756482
99,1.411,-2.603897178003216
100,1.411,-2.557460438369077
101,1.47,-2.6747913074779985
102,1.476,-2.7373432303208673
103,1.507,-2.744503949388738
104,1.56,-2.9404742553367296
105,1.612,-3.100383776348737
106,1.619,-3.0475403341608267
107,1.665,-3.1365642580543374
108,1.676,-3.0404330032651474
109,1.706,-2.9765349183819096
110,1.713,-3.1152802952981755
111,1.719,-2.8670029885910737
112,1.732,-3.06053230929636
113,1.74,-2.8184639982587956
114,1.744,-2.9899034142112764
115,1.76,-2.750246590841827
116,1.771,-2.900842435513322
117,1.777,-2.6726268924697743
118,1.788,-2.838242487693643
119,1.788,-2.5525221543321774
120,1.807,-2.700346933463493
121,1.811,-2.4652717416381753
122,1.823,-2.624708326330314
123,1.828,-2.3469918794849307
124,1.838,-2.569012761217504
125,1.841,-2.504314828877828
126,1.857,-2.2414407241761887
127,1.862,-2.3953656833995063
128,1.885,-2.311471162229168
129,1.887,-2.18123436679786
130,1.929,-2.183933468007306
131,1.944,-2.287452073436411
132,1.981,-2.433198978811497
133,2.003,-2.574728391668406
134,2.015,-2.3628415967114327
135,2.015,-2.6482403821317093
136,2.034,-2.4715459805795095
137,2.056,-2.6095758267841576
138,2.081,-2.756035099804495
139,2.106,-2.8999628714710095
140,2.131,-2.9850389960016552
141,2.167,-3.051843201436005
142,2.18,-2.9511080090855355
143,2.217,-3.004438405035784
144,2.22,-2.8547774628316582
145,2.247,-2.7360488816235007
146,2.253,-2.901772035730715
147,2.276,-2.6205420986465198
148,2.281,-2.7901410231837374
149,2.302,-2.5141099738944948
150,2.307,-2.6900635060747224
151,2.329,-2.5884798074588216
152,2.33,-2.4174554418833467
153,2.357,-2.4802317656965447
