,r,T
453,4.53,1.71002
454,4.54,1.6818
455,4.55,1.65196
456,4.56,1.621
457,4.57,1.58947
458,4.58,1.55789
459,4.59,1.52678
460,4.6,1.49661
461,4.61,1.46782
462,4.62,1.44076
463,4.63,1.41576
464,4.64,1.39305
465,4.65,1.37283
466,4.66,1.35523
467,4.67,1.34033
468,4.68,1.32818
469,4.69,1.31878
470,4.7,1.31209
471,4.71,1.30803
472,4.72,1.3065
473,4.73,1.30733
474,4.74,1.31034
475,4.75,1.31529
476,4.76,1.32193
477,4.77,1.32999
478,4.78,1.33918
479,4.79,1.34924
480,4.8,1.3599
481,4.81,1.37096
482,4.82,1.38226
483,4.83,1.39368
484,4.84,1.40518
485,4.85,1.41675
486,4.86,1.42843
487,4.87,1.44029
488,4.88,1.45241
489,4.89,1.46486
490,4.9,1.47768
491,4.91,1.4909
492,4.92,1.50448
493,4.93,1.51836
494,4.94,1.53244
495,4.95,1.54658
496,4.96,1.56064
497,4.97,1.57444
498,4.98,1.58784
499,4.99,1.60072
500,5.0,1.61297
501,5.01,1.62453
502,5.02,1.63538
503,5.03,1.64555
504,5.04,1.65509
505,5.05,1.66408
506,5.06,1.67263
507,5.07,1.68084
508,5.08,1.68884
509,5.09,1.69671
510,5.1,1.70453
511,5.11,1.71236
512,5.12,1.72021
513,5.13,1.72808
514,5.14,1.73594
515,5.15,1.74375
516,5.16,1.75145
517,5.17,1.75898
518,5.18,1.7663
519,5.19,1.77338
520,5.2,1.7802
521,5.21,1.78676
522,5.22,1.79309
523,5.23,1.79921
524,5.24,1.80518
525,5.25,1.81102
526,5.26,1.81677
527,5.27,1.82244
528,5.28,1.82804
529,5.29,1.83355
530,5.3,1.83895
531,5.31,1.84419
532,5.32,1.84923
533,5.33,1.85403
534,5.34,1.85853
535,5.35,1.86271
536,5.36,1.86654
537,5.37,1.86999
538,5.38,1.87304
539,5.39,1.87568
540,5.4,1.87788
541,5.41,1.87962
542,5.42,1.88084
543,5.43,1.88151
544,5.44,1.88156
545,5.45,1.88093
546,5.46,1.87955
547,5.47,1.87738
548,5.48,1.87437
549,5.49,1.87049
550,5.5,1.86576
551,5.51,1.8602
552,5.52,1.85388
553,5.53,1.84692
554,5.54,1.83944
555,5.55,1.83162
556,5.56,1.82363
557,5.57,1.81569
558,5.58,1.80799
559,5.59,1.80071
560,5.6,1.79403
561,5.61,1.78808
562,5.62,1.78294
563,5.63,1.77867
564,5.64,1.77525
565,5.65,1.77262
566,5.66,1.7707
567,5.67,1.76934
568,5.68,1.76839
569,5.69,1.76768
570,5.7,1.76706
571,5.71,1.76637
572,5.72,1.7655
573,5.73,1.76438
574,5.74,1.76296
575,5.75,1.76124
576,5.76,1.75928
577,5.77,1.75714
578,5.78,1.75494
579,5.79,1.75281
580,5.8,1.75088
581,5.81,1.74929
582,5.82,1.74818
583,5.83,1.74766
